RTCore64 PCI BAR bypass static audit
Purpose: identify whether raw I/O port write IOCTLs can bypass the PCI BAR write guard used by HalSetBusDataByOffset path.

===== IOCTL 0x80002014 byte out guard 00011500-00011565 =====
00011506  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011812  JA 0x00011855  ; FUN_00011438 @ 00011438
00011814  LEA R9,[RBX + 0x14]  ; FUN_00011438 @ 00011438
00011818  MOV R8D,dword ptr [RBX + 0x8]  ; FUN_00011438 @ 00011438
0001181c  AND R8D,0x7  ; FUN_00011438 @ 00011438
00011820  SHL R8D,0x5  ; FUN_00011438 @ 00011438
00011824  MOV EAX,dword ptr [RBX + 0x4]  ; FUN_00011438 @ 00011438
00011827  AND EAX,0x1f  ; FUN_00011438 @ 00011438
0001182a  OR R8D,EAX  ; FUN_00011438 @ 00011438
0001182d  MOV dword ptr [RSP + 0x28],ECX  ; FUN_00011438 @ 00011438
00011831  MOV EAX,dword ptr [RBX + 0xc]  ; FUN_00011438 @ 00011438
00011834  MOV dword ptr [RSP + 0x20],EAX  ; FUN_00011438 @ 00011438
00011838  MOV EDX,dword ptr [RBX]  ; FUN_00011438 @ 00011438
0001183a  MOV ECX,0x4  ; FUN_00011438 @ 00011438
0001183f  CALL qword ptr [0x00013000]  ; FUN_00011438 @ 00011438
00011845  MOV dword ptr [RDI + 0x30],ESI  ; FUN_00011438 @ 00011438
00011848  MOV qword ptr [RDI + 0x38],0x18  ; FUN_00011438 @ 00011438
00011850  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011855  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
0001185c  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011861  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
00011868  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
0001186d  CMP EDX,0x30  ; FUN_00011438 @ 00011438
00011870  JNZ 0x000118f8  ; FUN_00011438 @ 00011438
00011876  MOV R8,qword ptr [RBX + 0x8]  ; FUN_00011438 @ 00011438
0001187a  CMP R8,RSI  ; FUN_00011438 @ 00011438
0001187d  JZ 0x000118ec  ; FUN_00011438 @ 00011438
0001187f  CMP dword ptr [RBX + 0x2c],0x100  ; FUN_00011438 @ 00011438

===== FUN_00011044 PCI BAR allowlist filter 00011044-0001114f =====
00011044  MOV qword ptr [RSP + 0x10],RBX  ; FUN_00011044 @ 00011044
00011049  MOV qword ptr [RSP + 0x8],RCX  ; FUN_00011044 @ 00011044
0001104e  PUSH RBP  ; FUN_00011044 @ 00011044
0001104f  PUSH RSI  ; FUN_00011044 @ 00011044
00011050  PUSH RDI  ; FUN_00011044 @ 00011044
00011051  SUB RSP,0x40  ; FUN_00011044 @ 00011044
00011055  CMP RCX,0xc0000  ; FUN_00011044 @ 00011044
0001105c  MOV RSI,R8  ; FUN_00011044 @ 00011044
0001105f  MOV EBP,EDX  ; FUN_00011044 @ 00011044
00011061  JL 0x00011076  ; FUN_00011044 @ 00011044
00011063  LEA RAX,[RCX + RBP*0x1]  ; FUN_00011044 @ 00011044
00011067  CMP RAX,0xe0000  ; FUN_00011044 @ 00011044
0001106d  JG 0x00011076  ; FUN_00011044 @ 00011044
0001106f  MOV AL,0x1  ; FUN_00011044 @ 00011044
00011071  JMP 0x0001113a  ; FUN_00011044 @ 00011044
00011076  CMP dword ptr [R8 + 0xc],0x5  ; FUN_00011044 @ 00011044
0001107b  JBE 0x00011084  ; FUN_00011044 @ 00011044
0001107d  XOR AL,AL  ; FUN_00011044 @ 00011044
0001107f  JMP 0x0001113a  ; FUN_00011044 @ 00011044
00011084  MOV EBX,dword ptr [R8 + 0x8]  ; FUN_00011044 @ 00011044
00011088  MOV EAX,dword ptr [R8 + 0x4]  ; FUN_00011044 @ 00011044
0001108c  MOV EDX,dword ptr [RSI]  ; FUN_00011044 @ 00011044
0001108e  AND dword ptr [RSP + 0x30],0x0  ; FUN_00011044 @ 00011044
00011093  AND EBX,0x7  ; FUN_00011044 @ 00011044
00011096  AND EAX,0x1f  ; FUN_00011044 @ 00011044
00011099  MOV EDI,0x1  ; FUN_00011044 @ 00011044
0001109e  SHL EBX,0x5  ; FUN_00011044 @ 00011044
000110a1  LEA R9,[RSP + 0x78]  ; FUN_00011044 @ 00011044
000110a6  OR EBX,EAX  ; FUN_00011044 @ 00011044
000110a8  LEA ECX,[RDI + 0x3]  ; FUN_00011044 @ 00011044
000110ab  MOV dword ptr [RSP + 0x28],EDI  ; FUN_00011044 @ 00011044
000110af  MOV R8D,EBX  ; FUN_00011044 @ 00011044
000110b2  MOV dword ptr [RSP + 0x20],0xb  ; FUN_00011044 @ 00011044
000110ba  CALL qword ptr [0x00013000]  ; FUN_00011044 @ 00011044
000110c0  CMP byte ptr [RSP + 0x78],0x3  ; FUN_00011044 @ 00011044
000110c5  JNZ 0x0001107d  ; FUN_00011044 @ 00011044
000110c7  MOV EAX,dword ptr [RSI + 0xc]  ; FUN_00011044 @ 00011044
000110ca  MOV EDX,dword ptr [RSI]  ; FUN_00011044 @ 00011044
000110cc  LEA R9,[RSP + 0x30]  ; FUN_00011044 @ 00011044
000110d1  LEA EAX,[0x10 + RAX*0x4]  ; FUN_00011044 @ 00011044
000110d8  LEA ECX,[RDI + 0x3]  ; FUN_00011044 @ 00011044
000110db  MOV R8D,EBX  ; FUN_00011044 @ 00011044
000110de  MOV dword ptr [RSP + 0x28],0x4  ; FUN_00011044 @ 00011044
000110e6  MOV dword ptr [RSP + 0x20],EAX  ; FUN_00011044 @ 00011044
000110ea  CALL qword ptr [0x00013000]  ; FUN_00011044 @ 00011044
000110f0  MOV R11D,dword ptr [RSP + 0x30]  ; FUN_00011044 @ 00011044
000110f5  CMP R11D,-0x1  ; FUN_00011044 @ 00011044
000110f9  JZ 0x0001107d  ; FUN_00011044 @ 00011044
000110fb  TEST R11D,R11D  ; FUN_00011044 @ 00011044
000110fe  JZ 0x0001107d  ; FUN_00011044 @ 00011044
00011104  TEST DIL,R11B  ; FUN_00011044 @ 00011044
00011107  JNZ 0x0001107d  ; FUN_00011044 @ 00011044
0001110d  AND R11D,0xffffff00  ; FUN_00011044 @ 00011044
00011114  MOV EAX,R11D  ; FUN_00011044 @ 00011044
00011117  CMP qword ptr [RSP + 0x60],RAX  ; FUN_00011044 @ 00011044
0001111c  JL 0x00011134  ; FUN_00011044 @ 00011044
0001111e  MOV RDX,RBP  ; FUN_00011044 @ 00011044
00011121  LEA EAX,[R11 + 0x1000000]  ; FUN_00011044 @ 00011044
00011128  ADD RDX,qword ptr [RSP + 0x60]  ; FUN_00011044 @ 00011044
0001112d  MOV ECX,EAX  ; FUN_00011044 @ 00011044
0001112f  CMP RDX,RCX  ; FUN_00011044 @ 00011044
00011132  JLE 0x00011137  ; FUN_00011044 @ 00011044
00011134  XOR DIL,DIL  ; FUN_00011044 @ 00011044
00011137  MOV AL,DIL  ; FUN_00011044 @ 00011044
0001113a  MOV RBX,qword ptr [RSP + 0x68]  ; FUN_00011044 @ 00011044
0001113f  ADD RSP,0x40  ; FUN_00011044 @ 00011044
00011143  POP RDI  ; FUN_00011044 @ 00011044
00011144  POP RSI  ; FUN_00011044 @ 00011044
00011145  POP RBP  ; FUN_00011044 @ 00011044
00011146  RET  ; FUN_00011044 @ 00011044

===== TEXT HITS PCI config ports and BAR masks =====
0001110d  AND R11D,0xffffff00  ; FUN_00011044 @ 00011044
00011121  LEA EAX,[R11 + 0x1000000]  ; FUN_00011044 @ 00011044
0001151c  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
00011524  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438
00011571  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
00011579  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438
000115c8  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
000115d0  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438

===== TEXT HITS privileged port and MSR ops =====
00011529  IN EAX,DX  ; FUN_00011438 @ 00011438
0001154f  OUT DX,EAX  ; FUN_00011438 @ 00011438
0001157e  IN EAX,DX  ; FUN_00011438 @ 00011438
000115a5  OUT DX,AX  ; FUN_00011438 @ 00011438
000115d5  IN EAX,DX  ; FUN_00011438 @ 00011438
000115fb  OUT DX,AL  ; FUN_00011438 @ 00011438
00011620  IN EAX,DX  ; FUN_00011438 @ 00011438
00011648  IN AX,DX  ; FUN_00011438 @ 00011438
00011674  IN AL,DX  ; FUN_00011438 @ 00011438
00011a78  WRMSR  ; FUN_00011438 @ 00011438
00011ac4  RDMSR  ; FUN_00011438 @ 00011438

===== REFS TO DAT_00014370 mapping base table 00014370 =====
FROM=000113e6 TYPE=DATA IN=FUN_00011384 @ 00011384
FROM=000113f6 TYPE=READ IN=FUN_00011384 @ 00011384
FROM=00011893 TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=0001192a TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=000119c9 TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=000119df TYPE=DATA IN=FUN_00011438 @ 00011438

===== REFS TO DAT_00014b70 mapping size table 00014b70 =====
FROM=00011413 TYPE=DATA IN=FUN_00011384 @ 00011384
FROM=000118a8 TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=0001193f TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=000119d6 TYPE=DATA IN=FUN_00011438 @ 00011438
FROM=000119e7 TYPE=DATA IN=FUN_00011438 @ 00011438

===== STATIC INTERPRETATION CHECKLIST =====
1. Raw I/O write branches check exact port 0xCFC before denying writes to PCI BAR offsets.
2. PCI config data window consists of byte ports 0xCFC-0xCFF; exact-port-only checks may leave partial writes via 0xCFD/0xCFE/0xCFF.
3. Raw write branches also permit writes to 0xCF8 unless another caller-side policy blocks them; this changes PCI config address selection.
4. HalSetBusDataByOffset IOCTL 0x80002054 blocks BAR offsets 0x10-0x27, but raw port writes are a separate path.
5. This is a bypass candidate, not a confirmed RAM read/write primitive without dynamic proof.
